endpoint,model,model_label,run_pair,losses,gains,discordant,rate_delta_pp,p_value,holm_p_value
signature,qiskit/mistral-small-3.2-24b-qiskit,Qiskit Mistral 3.2 24B,1-2,34,0,34,-47.22222222222222,1.1641532182693481e-10,3.4924596548080444e-10
signature,qiskit/mistral-small-3.2-24b-qiskit,Qiskit Mistral 3.2 24B,1-3,34,0,34,-47.22222222222222,1.1641532182693481e-10,3.4924596548080444e-10
signature,qiskit/mistral-small-3.2-24b-qiskit,Qiskit Mistral 3.2 24B,2-3,0,0,0,0.0,1.0,1.0
signature,qwen/qwen3-32b,Qwen3 32B,1-2,19,2,21,-23.61111111111111,0.00022125244140625,0.00066375732421875
signature,qwen/qwen3-32b,Qwen3 32B,1-3,19,2,21,-23.61111111111111,0.00022125244140625,0.00066375732421875
signature,qwen/qwen3-32b,Qwen3 32B,2-3,5,5,10,0.0,1.0,1.0
signature,meta-llama/llama-4-scout-17b-16e-instruct,Llama 4 Scout,1-2,1,4,5,4.1666666666666625,0.375,1.0
signature,meta-llama/llama-4-scout-17b-16e-instruct,Llama 4 Scout,1-3,2,3,5,1.388888888888884,1.0,1.0
signature,meta-llama/llama-4-scout-17b-16e-instruct,Llama 4 Scout,2-3,5,3,8,-2.777777777777779,0.7265625,1.0
signature,llama-3.1-8b-instant,Llama 3.1 8B,1-2,6,0,6,-8.333333333333332,0.03125,0.0625
signature,llama-3.1-8b-instant,Llama 3.1 8B,1-3,11,0,11,-15.277777777777777,0.0009765625,0.0029296875
signature,llama-3.1-8b-instant,Llama 3.1 8B,2-3,7,2,9,-6.944444444444445,0.1796875,0.1796875
runnable_wrong,gpt-5.6-sol,GPT-5.6 Sol,1-2,0,0,0,0.0,1.0,1.0
runnable_wrong,gpt-5.6-sol,GPT-5.6 Sol,1-3,0,0,0,0.0,1.0,1.0
runnable_wrong,gpt-5.6-sol,GPT-5.6 Sol,2-3,0,0,0,0.0,1.0,1.0
runnable_wrong,gpt-5.5,GPT-5.5,1-2,0,1,1,1.3888888888888895,1.0,1.0
runnable_wrong,gpt-5.5,GPT-5.5,1-3,1,1,2,0.0,1.0,1.0
runnable_wrong,gpt-5.5,GPT-5.5,2-3,1,0,1,-1.3888888888888895,1.0,1.0
runnable_wrong,gpt-5.4-mini,GPT-5.4 mini,1-2,0,2,2,2.777777777777779,0.5,1.0
runnable_wrong,gpt-5.4-mini,GPT-5.4 mini,1-3,0,1,1,1.3888888888888895,1.0,1.0
runnable_wrong,gpt-5.4-mini,GPT-5.4 mini,2-3,2,1,3,-1.3888888888888895,1.0,1.0
runnable_wrong,claude-fable-5,Claude Fable 5,1-2,0,1,1,1.3888888888888895,1.0,1.0
runnable_wrong,claude-fable-5,Claude Fable 5,1-3,2,1,3,-1.3888888888888895,1.0,1.0
runnable_wrong,claude-fable-5,Claude Fable 5,2-3,2,0,2,-2.777777777777779,0.5,1.0
runnable_wrong,claude-sonnet-4-6,Claude Sonnet 4.6,1-2,0,3,3,4.1666666666666625,0.25,0.5
runnable_wrong,claude-sonnet-4-6,Claude Sonnet 4.6,1-3,2,1,3,-1.3888888888888895,1.0,1.0
runnable_wrong,claude-sonnet-4-6,Claude Sonnet 4.6,2-3,4,0,4,-5.555555555555553,0.125,0.375
runnable_wrong,claude-opus-4-8,Claude Opus 4.8,1-2,1,0,1,-1.3888888888888895,1.0,1.0
runnable_wrong,claude-opus-4-8,Claude Opus 4.8,1-3,0,0,0,0.0,1.0,1.0
runnable_wrong,claude-opus-4-8,Claude Opus 4.8,2-3,0,1,1,1.3888888888888895,1.0,1.0
runnable_wrong,gemini-2.5-pro,Gemini 2.5 Pro,1-2,5,7,12,2.777777777777779,0.7744140625,1.0
runnable_wrong,gemini-2.5-pro,Gemini 2.5 Pro,1-3,4,7,11,4.166666666666669,0.548828125,1.0
runnable_wrong,gemini-2.5-pro,Gemini 2.5 Pro,2-3,5,6,11,1.3888888888888895,1.0,1.0
runnable_wrong,gemini-3.1-pro-preview,Gemini 3.1 Pro Preview,1-2,1,0,1,-1.3888888888888895,1.0,1.0
runnable_wrong,gemini-3.1-pro-preview,Gemini 3.1 Pro Preview,1-3,0,1,1,1.3888888888888895,1.0,1.0
runnable_wrong,gemini-3.1-pro-preview,Gemini 3.1 Pro Preview,2-3,0,2,2,2.777777777777779,0.5,1.0
runnable_wrong,deepseek-v4-pro,DeepSeek V4 Pro,1-2,6,8,14,2.777777777777779,0.79052734375,1.0
runnable_wrong,deepseek-v4-pro,DeepSeek V4 Pro,1-3,8,6,14,-2.777777777777779,0.79052734375,1.0
runnable_wrong,deepseek-v4-pro,DeepSeek V4 Pro,2-3,5,1,6,-5.555555555555558,0.21875,0.65625
runnable_wrong,deepseek-v4-flash,DeepSeek V4 Flash,1-2,3,4,7,1.3888888888888895,1.0,1.0
runnable_wrong,deepseek-v4-flash,DeepSeek V4 Flash,1-3,3,6,9,4.166666666666669,0.5078125,1.0
runnable_wrong,deepseek-v4-flash,DeepSeek V4 Flash,2-3,3,5,8,2.777777777777779,0.7265625,1.0
runnable_wrong,mistral-ai/codestral-2501,Codestral 25.01,1-2,2,0,2,-2.777777777777779,0.5,1.0
runnable_wrong,mistral-ai/codestral-2501,Codestral 25.01,1-3,0,0,0,0.0,1.0,1.0
runnable_wrong,mistral-ai/codestral-2501,Codestral 25.01,2-3,0,2,2,2.777777777777779,0.5,1.0
runnable_wrong,qwen/qwen3-coder-next,Qwen3-Coder-Next,1-2,3,3,6,0.0,1.0,1.0
runnable_wrong,qwen/qwen3-coder-next,Qwen3-Coder-Next,1-3,4,4,8,0.0,1.0,1.0
runnable_wrong,qwen/qwen3-coder-next,Qwen3-Coder-Next,2-3,3,3,6,0.0,1.0,1.0
runnable_wrong,meta/llama-4-maverick-17b-128e-instruct-fp8,Llama 4 Maverick,1-2,6,1,7,-6.944444444444442,0.125,0.23693847656249997
runnable_wrong,meta/llama-4-maverick-17b-128e-instruct-fp8,Llama 4 Maverick,1-3,12,0,12,-16.666666666666664,0.00048828125,0.00146484375
runnable_wrong,meta/llama-4-maverick-17b-128e-instruct-fp8,Llama 4 Maverick,2-3,11,4,15,-9.722222222222221,0.11846923828124999,0.23693847656249997
runnable_wrong,llama-3.3-70b-versatile,Llama 3.3 70B,1-2,1,5,6,5.555555555555558,0.21875,0.65625
runnable_wrong,llama-3.3-70b-versatile,Llama 3.3 70B,1-3,1,1,2,0.0,1.0,1.0
runnable_wrong,llama-3.3-70b-versatile,Llama 3.3 70B,2-3,6,2,8,-5.555555555555558,0.2890625,0.65625
runnable_wrong,openai/gpt-oss-120b,GPT-OSS 120B,1-2,4,1,5,-4.1666666666666625,0.375,0.75
runnable_wrong,openai/gpt-oss-120b,GPT-OSS 120B,1-3,6,0,6,-8.333333333333332,0.03125,0.09375
runnable_wrong,openai/gpt-oss-120b,GPT-OSS 120B,2-3,5,2,7,-4.166666666666669,0.453125,0.75
runnable_wrong,openai/gpt-oss-20b,GPT-OSS 20B,1-2,17,2,19,-20.833333333333332,0.000728607177734375,0.00145721435546875
runnable_wrong,openai/gpt-oss-20b,GPT-OSS 20B,1-3,19,1,20,-25.0,4.00543212890625e-05,0.0001201629638671875
runnable_wrong,openai/gpt-oss-20b,GPT-OSS 20B,2-3,8,5,13,-4.166666666666669,0.5810546875,0.5810546875
runnable_wrong,mistralai/mistral-small-3.2-24b-instruct,Mistral Small 3.2 24B,1-2,7,5,12,-2.777777777777779,0.7744140625,1.0
runnable_wrong,mistralai/mistral-small-3.2-24b-instruct,Mistral Small 3.2 24B,1-3,3,4,7,1.388888888888884,1.0,1.0
runnable_wrong,mistralai/mistral-small-3.2-24b-instruct,Mistral Small 3.2 24B,2-3,5,8,13,4.1666666666666625,0.5810546875,1.0
runnable_wrong,qiskit/mistral-small-3.2-24b-qiskit,Qiskit Mistral 3.2 24B,1-2,33,0,33,-45.83333333333333,2.3283064365386963e-10,6.984919309616089e-10
runnable_wrong,qiskit/mistral-small-3.2-24b-qiskit,Qiskit Mistral 3.2 24B,1-3,33,0,33,-45.83333333333333,2.3283064365386963e-10,6.984919309616089e-10
runnable_wrong,qiskit/mistral-small-3.2-24b-qiskit,Qiskit Mistral 3.2 24B,2-3,0,0,0,0.0,1.0,1.0
runnable_wrong,qwen/qwen3-32b,Qwen3 32B,1-2,16,2,18,-19.444444444444446,0.001312255859375,0.003936767578125
runnable_wrong,qwen/qwen3-32b,Qwen3 32B,1-3,14,2,16,-16.666666666666668,0.004180908203125,0.00836181640625
runnable_wrong,qwen/qwen3-32b,Qwen3 32B,2-3,4,6,10,2.7777777777777777,0.75390625,0.75390625
runnable_wrong,meta-llama/llama-4-scout-17b-16e-instruct,Llama 4 Scout,1-2,4,3,7,-1.3888888888888895,1.0,1.0
runnable_wrong,meta-llama/llama-4-scout-17b-16e-instruct,Llama 4 Scout,1-3,4,4,8,0.0,1.0,1.0
runnable_wrong,meta-llama/llama-4-scout-17b-16e-instruct,Llama 4 Scout,2-3,2,3,5,1.3888888888888895,1.0,1.0
runnable_wrong,llama-3.1-8b-instant,Llama 3.1 8B,1-2,14,2,16,-16.666666666666668,0.004180908203125,0.012542724609375
runnable_wrong,llama-3.1-8b-instant,Llama 3.1 8B,1-3,13,2,15,-15.277777777777779,0.00738525390625,0.0147705078125
runnable_wrong,llama-3.1-8b-instant,Llama 3.1 8B,2-3,6,7,13,1.3888888888888895,1.0,1.0
